year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,13.533211663166666,555.5058333333333,0.6955763889166667,470.0,7221.0,1026.0,6.651897296666667,1.3518361861666666
2015,11.249101407916667,269.42333333333335,0.7430069444999999,270.0,8910.0,1182.0,7.352385695833333,1.3000715880833333
2016,14.523945294999999,676.4158333333334,0.7128958333333334,693.0,5949.0,360.0,6.976557965833333,1.378533598
2017,14.704198251666666,377.6983333333333,0.7310625000000001,778.0,6412.0,1446.0,8.379786815166666,1.4189735721666665
2018,15.105340629166667,351.1641666666667,0.7280833333333333,516.0,5423.0,1411.0,9.18996787475,1.3873999989166668
2019,13.380445778416666,305.42,0.7052986110833334,354.0,4403.0,1387.0,8.807990182166668,1.1684288148333333
2020,12.6247611525,309.91833333333335,0.7282083333333333,493.0,3505.0,870.0,9.02106574925,1.36288974425
2021,13.251304252666666,243.64416666666668,0.73777777775,316.0,2318.0,453.0,9.329341883833333,1.4257886723333335
2022,15.107978437333335,271.3958333333333,0.73134722225,238.0,4451.0,997.0,9.470563136,1.5409459066666666
2023,12.504799910583332,430.27416666666664,0.7299166666666667,1024.0,5450.0,1216.0,9.22947850975,1.3107577514166666
2024,13.947726173833333,196.3475,0.7323125,1077.0,5551.0,1647.0,9.277024063583333,1.39751834325
