,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,vim,vim_anomaly,tc_loss_ha,frp_total,carbon_gross_emissions_yearly,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
pm2.5_ug_m3,1.0,-0.037853550285364385,0.4731626034372141,-0.31090202664243805,-0.23756492872652882,0.13158727358766723,0.17866512668293097,0.13186827398746587,-0.04220823146934657,0.16968633744604122,0.0432499643099039,-0.07733133867942764,0.05065630325731681,-0.18138737972221972
no2_ug_m3,-0.037853550285364385,1.0,0.30617959145908175,-0.3557375314352697,0.09315887725687019,-0.12601061283704676,0.18538897775968557,-0.10718788477820676,-0.17329484565166867,0.17319012559344954,-0.09246283391546586,0.10276889994940185,-0.04368552799730634,0.004882695949951257
so2_ug_m3,0.4731626034372141,0.30617959145908175,1.0,-0.3676796649803408,0.10937716381418874,0.05201140540971292,0.3984531738182572,0.04810021787411018,-0.02512577470069733,0.013753398708696131,-0.0018447320700158741,-0.03705890995151885,0.008804346467922861,-0.044974855020813435
vim,-0.31090202664243805,-0.3557375314352697,-0.3676796649803408,1.0,0.5814271026304724,-0.15559498033623942,-0.5699108283864222,-0.17581857815270335,0.04768777231275972,-0.07857736519533173,-0.054188849666785596,0.06577762088719678,-0.048287631909709576,-0.009068251753143942
vim_anomaly,-0.23756492872652882,0.09315887725687019,0.10937716381418874,0.5814271026304724,1.0,-0.20732518677879086,-0.1257133656112753,-0.23193157182900623,0.07138902526228459,-0.09467411396833258,-0.07366827848500473,0.09056728915018836,-0.06742134545826733,-0.016683832267029255
tc_loss_ha,0.13158727358766723,-0.12601061283704676,0.05201140540971292,-0.15559498033623942,-0.20732518677879086,1.0,0.21016943462301302,0.98829514453446,-0.02165428554717716,-0.3590383151883095,0.31011778372583315,-0.5855200448395138,0.30601499714866726,-0.09863620824452285
frp_total,0.17866512668293097,0.18538897775968557,0.3984531738182572,-0.5699108283864222,-0.1257133656112753,0.21016943462301302,1.0,0.1924839011142978,0.11897333632644978,-0.08227504335007678,0.17248573631018285,-0.2093107327412617,0.13189573136200605,-0.04296230790430758
carbon_gross_emissions_yearly,0.13186827398746587,-0.10718788477820676,0.04810021787411018,-0.17581857815270335,-0.23193157182900623,0.98829514453446,0.1924839011142978,1.0,-0.09753408292367159,-0.359076320489132,0.20112403112084287,-0.551055654315919,0.21269030323858043,-0.029466661046014118
asthma_live_discharges,-0.04220823146934657,-0.17329484565166867,-0.02512577470069733,0.04768777231275972,0.07138902526228459,-0.02165428554717716,0.11897333632644978,-0.09753408292367159,1.0,-0.03940761087266235,0.3271698232574438,-0.2808210356939986,0.044479292225653534,-0.45086610429133156
bronchitis_live_discharges,0.16968633744604122,0.17319012559344954,0.013753398708696131,-0.07857736519533173,-0.09467411396833258,-0.3590383151883095,-0.08227504335007678,-0.359076320489132,-0.03940761087266235,1.0,0.1839784369178553,0.11139783613219083,0.16728043858891978,-0.5756437164691579
asthma_deaths,0.0432499643099039,-0.09246283391546586,-0.0018447320700158741,-0.054188849666785596,-0.07366827848500473,0.31011778372583315,0.17248573631018285,0.20112403112084287,0.3271698232574438,0.1839784369178553,1.0,-0.3323680051974595,0.9441175904999103,-0.5320337948105894
bronchitis_deaths,-0.07733133867942764,0.10276889994940185,-0.03705890995151885,0.06577762088719678,0.09056728915018836,-0.5855200448395138,-0.2093107327412617,-0.551055654315919,-0.2808210356939986,0.11139783613219083,-0.3323680051974595,1.0,-0.23001037363378457,0.4061120662724067
asthma_cfr,0.05065630325731681,-0.04368552799730634,0.008804346467922861,-0.048287631909709576,-0.06742134545826733,0.30601499714866726,0.13189573136200605,0.21269030323858043,0.044479292225653534,0.16728043858891978,0.9441175904999103,-0.23001037363378457,1.0,-0.42075349846245114
bronchitis_cfr,-0.18138737972221972,0.004882695949951257,-0.044974855020813435,-0.009068251753143942,-0.016683832267029255,-0.09863620824452285,-0.04296230790430758,-0.029466661046014118,-0.45086610429133156,-0.5756437164691579,-0.5320337948105894,0.4061120662724067,-0.42075349846245114,1.0
