year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.0,7.76,246.95,314.46,96.49,238.62,308.41,69.69,150.85,44.07,0.0,0.0
2015,0.0,6.97,37.13,59.85,18.62,68.45,57.68,219.91,346.4,15.51,0.0,11.62
2016,6.59,20.38,243.33,440.13,89.64,44.16,48.51,246.76,287.31,298.41,4.43,3.01
2017,21.1,6.52,19.98,172.41,194.4,326.25,501.02,54.32,57.67,29.09,0.0,0.0
2018,25.76,148.8,165.93,235.7,64.65,95.8,188.77,418.01,307.16,1.55,0.0,0.0
2019,0.0,41.79,254.79,358.27,178.68,127.93,120.08,311.68,189.44,5.56,0.0,0.0
2020,1.08,47.64,266.46,310.8,104.29,189.54,38.46,342.09,42.85,163.4,22.12,0.0
2021,0.0,13.07,81.86,54.73,59.8,154.56,57.68,219.78,146.31,4.26,0.0,2.68
2022,0.96,1.17,16.97,10.13,191.55,184.54,49.62,61.73,114.87,67.89,0.0,0.0
2023,0.0,11.65,11.58,18.71,25.29,40.21,109.84,276.93,149.54,13.82,0.0,0.0
2024,0.0,14.13,145.24,78.05,10.56,0.0,14.78,79.76,226.78,9.09,0.0,0.0
