year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.878583094,1.02055799,1.116744569,1.759179986,1.885874545,1.442479899,1.379765496,1.775841165,1.753173727,2.039082093,2.06827029,1.308212634
2015,1.186393479,1.20226499,1.476156015,2.051322436,2.129334588,1.49401998,1.572249951,1.701147687,1.904332211,2.026391197,2.152187996,1.342860853
2016,1.110559621,1.239917506,1.747753518,2.267115213,1.939320398,1.642956179,1.788139604,1.90335284,1.889778528,2.066097343,1.464816415,1.645957777
2017,1.07010111,1.488044017,2.570477218,2.414194582,2.08482821,1.85196422,2.302295892,1.971875555,2.013849651,2.011527746,1.821814344,1.707518965
2018,1.309440173,1.036212947,1.893752034,2.21608993,2.366866302,1.584641716,1.77171754,2.249482895,2.394988488,2.377893858,2.026275315,1.481182402
2019,1.056749786,1.559436861,2.027947686,2.519441538,1.844934929,1.766840905,2.021698026,1.699745818,2.149726489,2.835356037,2.232744104,1.319367329
2020,1.228579972,1.030871294,1.593590188,2.105961449,2.115332891,1.842200607,2.200070134,1.77126943,1.920623347,2.052396322,2.134787885,1.550088039
2021,1.442059716,1.18661492,1.630082274,2.226075307,1.962038405,1.651891728,1.827686484,2.007470953,2.099642267,2.213122438,2.223348881,1.58584868
2022,1.840983128,1.307777248,1.999912127,2.514301964,1.711832455,1.943396066,2.181069206,1.979636628,1.899706285,2.444012549,2.344359019,1.612771095
2023,1.09949812,1.155194613,1.941744181,2.211895187,2.324833106,1.905126695,1.91956019,2.217535566,1.872107032,2.649646734,2.412829746,1.565361121
2024,1.413204818,1.326686707,1.641908156,2.434116002,2.354745635,1.782660937,1.537408407,1.986464405,1.701698011,2.544068344,1.797360447,2.312680382
