year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.72525,0.71925,0.67325,0.64,0.68075,0.66575,0.61225,0.64475,0.6685,0.716666667,0.695,0.65
2015,0.74025,0.6875,0.677,0.704666667,0.66825,0.718,0.67,0.67725,0.70425,0.689333333,0.734,0.73625
2016,0.721,0.683,0.67925,0.653,0.699333333,0.715333333,0.708666667,0.67525,0.654,0.66325,0.67,0.71125
2017,0.7145,0.735,0.702,0.642666667,0.6805,0.65225,0.612,0.66775,0.70525,0.680666667,0.72725,0.7535
2018,0.7355,0.6785,0.665,0.645666667,0.63375,0.6775,0.6385,0.61775,0.64775,0.6835,0.69075,0.702
2019,0.70875,0.6815,0.65775,0.623,0.636,0.662,0.61375,0.595,0.6145,0.688666667,0.721,0.719
2020,0.73525,0.6865,0.644,0.6425,0.663333333,0.712,0.675,0.6855,0.6955,0.6485,0.615333333,0.66675
2021,0.71325,0.688,0.6525,0.644333333,0.68175,0.69225,0.63075,0.678,0.66275,0.666666667,0.7,0.751
2022,0.71575,0.7,0.67725,0.687333333,0.68675,0.68925,0.652666667,0.67525,0.66925,0.656666667,0.6575,0.72225
2023,0.694,0.6865,0.653,0.665666667,0.64525,0.71375,0.6975,0.6625,0.644,0.674333333,0.72275,0.71125
2024,0.72225,0.68425,0.65325,0.63675,0.673,0.705,0.687,0.67925,0.65375,0.6725,0.704,0.72975
