month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,16.985102324545455,5.044545454545455,0.7205227272727273,1106.8181818181818,169.54545454545453,1.2396502742727273
February,17.831834846363634,29.08,0.6936363636363636,1106.8181818181818,169.54545454545453,1.2321435539090908
March,20.337178910000002,135.47454545454545,0.66675,1106.8181818181818,169.54545454545453,1.7854607241818181
April,17.296951772727272,186.6581818181818,0.6532348485454545,1106.8181818181818,169.54545454545453,2.247244872181818
May,22.978063274545455,93.99727272727273,0.668060606,1106.8181818181818,169.54545454545453,2.065449224
June,23.15715282090909,133.64181818181817,0.6911893939090908,1106.8181818181818,169.54545454545453,1.7189253574545453
July,22.656528477272726,135.89545454545453,0.6543712121818182,1106.8181818181818,169.54545454545453,1.8637873572727273
August,20.967971885454546,209.15090909090907,0.6598409090909091,1106.8181818181818,169.54545454545453,1.933074812909091
September,18.195624732727275,183.56181818181818,0.665409090909091,1106.8181818181818,169.54545454545453,1.963602366909091
October,15.749059663636364,59.33181818181818,0.6764318182727272,1106.8181818181818,169.54545454545453,2.2963267873636366
November,19.88536789809091,2.4136363636363636,0.6943257575454546,1106.8181818181818,169.54545454545453,2.0617085856363637
December,18.271711194545453,1.5736363636363635,0.7139090909090909,1106.8181818181818,169.54545454545453,1.5847135706363638
