year,January,February,March,April,May,June,July,August,September,October,November,December
2014,12.15789877,12.60312086,11.45132032,13.2389883,9.395299791,5.582674624,5.138970007,7.505465986,8.113831892,12.21351526,12.99866186,13.52328606
2015,14.22549697,13.49387288,13.88509112,14.00683925,9.868789443,8.014549164,5.970247865,7.595358523,9.057142267,13.18512077,15.09308111,13.20881731
2016,13.78096615,11.52648465,10.37761085,12.13504989,10.32707898,6.210604868,6.910360535,6.528783854,6.576172553,11.54522815,16.04932675,17.38911575
2017,16.9044558,16.58785036,18.39553503,13.7485368,10.46028436,7.767766172,7.147631859,7.666371455,9.888591145,12.31062284,17.08954964,17.52245146
2018,18.95814701,15.77593121,17.07770148,18.04505522,11.99301997,7.902060507,7.056111439,7.502461855,11.60948572,17.07833013,18.20530783,19.45724384
2019,16.35038837,15.31993194,16.77646864,16.42111215,10.32396844,8.337335991,9.215954874,8.80330169,11.81677261,18.16520326,18.61046855,16.40983785
2020,16.98825743,13.63998031,16.61605393,16.42906766,12.88937077,9.640147816,10.31715688,10.53347556,10.93157266,12.56966813,19.16397198,19.15742038
2021,18.26301252,17.62300586,18.30401317,18.08950994,12.37972803,9.094221907,7.753090994,9.487946889,10.56151298,14.67434224,15.67245421,19.18078942
2022,19.38855819,18.24622067,17.90889971,17.94425944,8.530170331,8.725023044,9.659471328,8.326109058,9.289097767,14.31948417,21.59542188,17.84599406
2023,16.86726133,16.64424919,18.59760239,18.9778772,12.89235069,8.549740331,8.794464965,9.03965932,10.26332784,17.37403646,19.38189565,15.23177227
2024,17.81723717,15.2061753,16.10871872,18.24385221,13.2193621,9.417780115,8.508776149,10.04424917,9.396755083,15.55540975,18.52361618,20.68323656
