year,January,February,March,April,May,June,July,August,September,October,November,December
2014,9.184391517,11.22076013,13.50100708,14.5367579,13.21261051,16.34469388,12.98687484,13.0995085,10.12022245,8.638581801,15.35639551,7.371894487
2015,8.972208848,8.869416715,13.29470689,10.04398707,15.0105514,13.3623384,13.91523853,9.91802922,7.423626234,7.053103346,6.234658875,6.509245598
2016,11.69614582,11.77616222,11.16650139,10.77446056,11.84931967,14.09005889,16.24318903,13.77159606,14.13319128,13.12448839,13.6012171,12.00180196
2017,10.67496609,12.52718587,13.14704132,23.33565351,13.63522301,10.78050592,16.40510319,12.64761573,10.42227457,11.91772844,12.25679738,9.43216712
2018,16.68253889,11.52535126,14.70681664,12.4535083,12.64270074,13.41365911,15.32232986,17.40317341,12.16473856,10.83433099,14.37582578,13.41236623
2019,11.21740593,10.34413525,16.34012724,14.59444874,14.66017127,13.39467429,15.65065896,15.12314022,9.864551363,6.255427208,9.302876765,5.848275669
2020,8.38838001,9.981600592,13.5007084,10.2816583,14.4145146,12.18891589,11.13745051,10.1982365,9.397084653,14.62969371,9.1277888,9.117959019
2021,8.142240404,10.96341323,13.36331443,19.41230996,10.67948355,12.37502227,11.81407899,12.04525866,11.69053109,9.817564811,9.049259364,8.139639179
2022,8.953559318,12.11690087,19.07809343,10.51900174,19.28963348,13.07531167,18.49007466,12.51166602,11.54658223,10.27665892,14.39785067,10.73417381
2023,11.29604807,10.88383024,11.34499833,12.96835421,12.28926781,12.23201976,13.35696131,10.8138689,8.478483748,9.389775634,6.700444987,5.877029909
2024,9.216550919,13.45005843,15.89667906,11.07117433,13.25369368,10.95207101,16.96082766,12.70147202,11.27201055,8.961098059,10.12306973,12.51760639
