year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.78925,0.7455,0.75475,0.739,0.71775,0.71375,0.66225,0.651,0.635,0.763,0.6025,0.797
2015,0.77975,0.7615,0.74325,0.769,0.72975,0.74325,0.7055,0.71875,0.66425,0.736,0.70175,0.74825
2016,0.79625,0.763,0.734,0.74375,0.754,0.6165,0.72525,0.6895,0.66825,0.69425,0.669,0.786
2017,0.782,0.7685,0.755,0.759,0.748,0.7365,0.69725,0.6685,0.7295,0.741666667,0.69325,0.7885
2018,0.77775,0.782,0.761,0.728333333,0.746,0.7415,0.6775,0.65525,0.70725,0.758,0.7735,0.80175
2019,0.774,0.74375,0.71775,0.745666667,0.73375,0.70875,0.7215,0.69825,0.66175,0.7015,0.799,0.8055
2020,0.7835,0.755,0.72675,0.72425,0.750666667,0.7665,0.746,0.733333333,0.74325,0.6745,0.712666667,0.7755
2021,0.775,0.77775,0.7595,0.748666667,0.726,0.744,0.734,0.7065,0.649,0.725333333,0.767,0.79975
2022,0.776,0.77925,0.7505,0.707333333,0.7555,0.71375,0.706,0.59375,0.70725,0.64,0.67725,0.705
2023,0.767,0.77125,0.7475,0.750333333,0.737,0.7495,0.73925,0.704,0.517,0.738333333,0.74225,0.766
2024,0.79625,0.76525,0.7305,0.73375,0.7275,0.747,0.691333333,0.728,0.7245,0.75625,0.783,0.79425
