year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,12.131141550416666,26.38,0.7142291666666667,327.0,3829.0,2730.0,10.3269194775,2.2774553472499997
2015,10.050592593833334,8.296666666666667,0.7334166666666667,221.0,4511.0,3341.0,11.467033889333335,2.2215772380833334
2016,12.852344364166667,80.09583333333335,0.7199791666666666,207.0,3825.0,2.0,10.779731915,2.308746251416667
2017,13.098521845833334,15.013333333333334,0.73897222225,161.0,4103.0,2607.0,12.95747057675,2.3823950040833335
2018,13.744778314166666,8.265,0.7424861110833333,225.0,3.0,2.0,14.221738017583334,2.2877948555833334
2019,11.882991075416667,54.635,0.7342638889166667,206.0,3940.0,2406.0,13.879228697083333,2.1316901468333334
2020,11.030332582,37.229166666666664,0.7409930555833334,337.0,2299.0,1738.0,14.073011958833334,2.350284985916667
2021,11.457676328166668,14.840833333333334,0.7427083333333333,196.0,1417.0,1060.0,14.256969013333332,2.2984493951666667
2022,13.415792234833333,19.153333333333332,0.7092986110833334,233.0,3103.0,2034.0,14.314892470666665,2.46056789225
2023,10.469256909,37.35166666666667,0.7274513888333334,420.0,2970.0,2818.0,14.384519803000002,2.1748213905
2024,12.1980259865,41.998333333333335,0.7481319444166666,479.0,3119.0,2376.0,14.39376404225,2.3350192453333336
