month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,14.642270768181818,1.8063636363636364,0.7575454545454545,3135.2727272727275,884.6363636363636,6.233841098727273
February,15.581745031818183,12.702727272727275,0.746840909090909,3135.2727272727275,884.6363636363636,5.923692681272727
March,17.94070694272727,127.85818181818182,0.6689545454545455,3135.2727272727275,884.6363636363636,7.818973725181817
April,15.280747660363636,280.46636363636367,0.6469848484545454,3135.2727272727275,884.6363636363636,9.110923771090908
May,17.787462323636365,29.932727272727274,0.6747272727272727,3135.2727272727275,884.6363636363636,6.844088214090909
June,17.958931098181818,75.06636363636363,0.6896363636363637,3135.2727272727275,884.6363636363636,4.8848728225454545
July,18.880412751818184,195.18454545454549,0.6850227272727273,3135.2727272727275,884.6363636363636,4.785972607818182
August,17.229367753636364,257.5209090909091,0.6560909090909091,3135.2727272727275,884.6363636363636,5.116778069454546
September,14.479924237272728,693.2809090909091,0.6392954545454546,3135.2727272727275,884.6363636363636,6.052458250545455
October,12.863721849272729,294.1572727272727,0.6768484849999999,3135.2727272727275,884.6363636363636,8.24004040690909
November,15.55984051090909,7.871818181818182,0.682060606090909,3135.2727272727275,884.6363636363636,8.493262009999999
December,14.444657883454544,0.36272727272727273,0.7085757575454545,3135.2727272727275,884.6363636363636,7.100500550363637
