year,January,February,March,April,May,June,July,August,September,October,November,December
2014,11.36,221.75,712.03,16.66,2.1,7.58,62.22,967.85,915.03,72.22,3.21,1.95
2015,17.51,34.14,217.26,22.9,5.87,15.13,42.13,432.91,923.67,83.12,5.66,5.49
2016,6.67,71.09,432.62,45.52,1.08,12.8,69.1,388.89,541.73,881.73,8.62,5.56
2017,72.09,93.84,130.17,104.8,13.75,98.9,305.28,152.04,49.74,18.59,3.99,18.19
2018,30.44,223.18,332.33,117.49,3.21,10.58,22.58,388.31,1088.27,17.48,1.66,13.07
2019,13.73,39.58,654.83,197.96,22.28,10.75,54.38,58.66,32.05,12.69,1.24,1.57
2020,38.73,234.91,597.28,174.11,1.88,43.84,19.63,426.12,120.72,127.59,47.39,0.58
2021,45.7,292.14,129.18,59.73,1.39,12.36,114.87,38.56,749.62,18.6,6.55,24.09
2022,40.31,90.24,146.73,99.95,8.49,15.91,28.04,22.1,256.75,99.51,30.15,3.82
2023,5.4,40.13,133.65,14.07,17.68,44.51,87.47,710.89,41.07,12.8,1.62,0.8
2024,13.22,112.81,258.95,56.05,2.64,2.06,14.53,51.82,104.95,36.81,7.47,15.35
