month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,15.601245241818184,26.832727272727276,0.7174545454545455,3795.5454545454545,349.27272727272725,4.279918581636363
February,16.69608505909091,132.16454545454545,0.6722272727272727,3795.5454545454545,349.27272727272725,4.126792874090909
March,19.34147131090909,340.4572727272727,0.6286818181818181,3795.5454545454545,349.27272727272725,6.161744398636364
April,18.946467114545456,82.65818181818182,0.6526893940909091,3795.5454545454545,349.27272727272725,6.539377817545454
May,22.46272465090909,7.306363636363637,0.653121212,3795.5454545454545,349.27272727272725,4.378428878545455
June,22.271489394545455,24.94727272727273,0.6661136363636363,3795.5454545454545,349.27272727272725,2.839573852727273
July,22.10475174909091,74.56636363636363,0.6376060605454545,3795.5454545454545,349.27272727272725,2.9229417916363634
August,20.140406577272728,330.7409090909091,0.612909090909091,3795.5454545454545,349.27272727272725,3.077959866454546
September,17.576998272727273,438.50909090909084,0.6197272727272728,3795.5454545454545,349.27272727272725,3.658901382272727
October,15.816027773999998,125.55818181818182,0.6490227272727274,3795.5454545454545,349.27272727272725,5.842325979
November,18.05448651090909,10.687272727272727,0.7043787879090909,3795.5454545454545,349.27272727272725,6.692897978909091
December,16.14193637909091,8.224545454545455,0.7199090909090908,3795.5454545454545,349.27272727272725,5.3043557356363635
