year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,18.998006425,249.49666666666667,0.6540902777500001,361.0,5624.0,61.0,3.8291909339166668,1.27182869
2015,15.326421998333332,150.4825,0.6767569445,251.0,4595.0,335.0,4.359371838916666,1.2855784143333333
2016,19.5375885875,205.45083333333332,0.6613194444166667,929.0,3945.0,371.0,4.138424268833333,1.3137940184166668
2017,20.21668347583333,88.44833333333332,0.6237291666666667,735.0,3964.0,431.0,4.68533723075,1.3645045233333333
2018,20.899747595833333,187.38333333333333,0.6524513889166667,474.0,3581.0,463.0,4.885994056166667,1.4523256244166667
2019,18.118831667833334,91.64333333333333,0.6500763889166666,292.0,4339.0,596.0,5.01475640875,1.3707689318333334
2020,17.248072178333334,152.73166666666665,0.6741874999999999,472.0,2583.0,89.0,4.735238993166667,1.2951600601666666
2021,18.554440486666667,124.39916666666666,0.6775208333333333,746.0,2202.0,95.0,4.6986081415,1.2990989314166665
2022,20.810612418333335,70.16666666666667,0.6674791666666667,472.0,2940.0,437.0,4.86627817825,1.4727716016666665
2023,17.2651410025,92.5075,0.6648333333333333,597.0,3761.0,548.0,4.898531541666666,1.3983855770833333
2024,19.4157033625,56.38833333333333,0.6702430555,344.0,4217.0,416.0,5.061385950416667,1.3465084054166667
