district,target,feature,correlation
Ratnapura,asthma_live_discharges,vim_anomaly,-0.08598987552597816
Ratnapura,asthma_live_discharges,pm2.5_ug_m3,-0.07432047298632663
Ratnapura,asthma_live_discharges,vim,-0.06884844981867982
Ratnapura,asthma_live_discharges,tc_loss_ha,-0.06685768301339416
Ratnapura,asthma_live_discharges,so2_ug_m3,-0.06576450086246137
Ratnapura,asthma_live_discharges,carbon_gross_emissions_yearly,-0.040330537642611915
Ratnapura,asthma_live_discharges,frp_total,-0.004268140401849939
Ratnapura,asthma_live_discharges,no2_ug_m3,0.029095946030942184
Ratnapura,bronchitis_live_discharges,tc_loss_ha,-0.36642261797952796
Ratnapura,bronchitis_live_discharges,carbon_gross_emissions_yearly,-0.3347216474887817
Ratnapura,bronchitis_live_discharges,vim_anomaly,-0.11374108044077692
Ratnapura,bronchitis_live_discharges,vim,-0.08891000379969442
Ratnapura,bronchitis_live_discharges,pm2.5_ug_m3,-0.08278784338487902
Ratnapura,bronchitis_live_discharges,frp_total,-0.04040705482052134
Ratnapura,bronchitis_live_discharges,so2_ug_m3,-0.01694604955023025
Ratnapura,bronchitis_live_discharges,no2_ug_m3,0.025006803842063063
Ratnapura,asthma_deaths,pm2.5_ug_m3,-0.04489391740807015
Ratnapura,asthma_deaths,so2_ug_m3,-0.014624841794992387
Ratnapura,asthma_deaths,vim,0.002297837930168544
Ratnapura,asthma_deaths,vim_anomaly,0.0030656145164068833
Ratnapura,asthma_deaths,frp_total,0.048846284515684124
Ratnapura,asthma_deaths,no2_ug_m3,0.05963772017986564
Ratnapura,asthma_deaths,tc_loss_ha,0.0709063784650631
Ratnapura,asthma_deaths,carbon_gross_emissions_yearly,0.0879166111132841
Ratnapura,bronchitis_deaths,tc_loss_ha,-0.4691431572972947
Ratnapura,bronchitis_deaths,carbon_gross_emissions_yearly,-0.44629530056105515
Ratnapura,bronchitis_deaths,pm2.5_ug_m3,-0.1459452141748554
Ratnapura,bronchitis_deaths,no2_ug_m3,-0.05612210269523102
Ratnapura,bronchitis_deaths,frp_total,-0.04753350547646236
Ratnapura,bronchitis_deaths,so2_ug_m3,-0.04333806259645979
Ratnapura,bronchitis_deaths,vim_anomaly,-0.006303083589125693
Ratnapura,bronchitis_deaths,vim,-0.004938366887513434
Ratnapura,asthma_cfr,pm2.5_ug_m3,0.008675116356471222
Ratnapura,asthma_cfr,vim,0.03220896507287096
Ratnapura,asthma_cfr,so2_ug_m3,0.033500948260896314
Ratnapura,asthma_cfr,vim_anomaly,0.040900127465611634
Ratnapura,asthma_cfr,frp_total,0.04209692620759413
Ratnapura,asthma_cfr,no2_ug_m3,0.058314089592231354
Ratnapura,asthma_cfr,tc_loss_ha,0.09739032377192988
Ratnapura,asthma_cfr,carbon_gross_emissions_yearly,0.1081639644966991
Ratnapura,bronchitis_cfr,no2_ug_m3,-0.07937103919425635
Ratnapura,bronchitis_cfr,pm2.5_ug_m3,-0.01975388695657028
Ratnapura,bronchitis_cfr,so2_ug_m3,-0.006260639646535322
Ratnapura,bronchitis_cfr,frp_total,0.008992065709076857
Ratnapura,bronchitis_cfr,carbon_gross_emissions_yearly,0.01685242264114004
Ratnapura,bronchitis_cfr,tc_loss_ha,0.02871298198884463
Ratnapura,bronchitis_cfr,vim,0.08326715085560726
Ratnapura,bronchitis_cfr,vim_anomaly,0.10615037059599071
