year,January,February,March,April,May,June,July,August,September,October,November,December
2014,6.47,78.01,47.99,12.49,0.0,29.76,123.96,311.63,132.17,6.92,0.72,0.0
2015,8.47,29.1,34.84,0.0,0.0,4.65,9.62,42.4,38.67,0.0,0.0,0.0
2016,15.94,17.9,39.44,10.44,2.96,13.28,211.37,250.62,277.91,218.98,0.0,6.65
2017,42.26,79.14,8.55,0.0,2.25,0.0,24.63,101.06,79.65,81.68,3.99,4.27
2018,11.67,49.88,4.48,10.41,0.0,0.0,113.12,465.31,290.72,0.0,0.0,2.29
2019,2.29,7.43,15.15,0.0,13.15,0.0,45.66,19.04,14.38,0.0,0.0,0.0
2020,42.55,95.4,251.4,13.48,0.0,12.44,45.49,90.14,5.66,169.47,0.0,0.0
2021,0.0,18.18,12.96,5.02,0.0,15.52,11.95,97.68,192.0,10.52,2.34,7.71
2022,6.45,0.0,3.66,0.0,0.0,32.8,21.87,117.98,247.28,17.53,3.89,0.0
2023,2.49,5.74,30.22,1.89,1.14,60.27,106.33,423.39,2.83,0.0,0.0,4.2
2024,15.73,53.25,18.22,0.0,5.64,0.0,1.07,37.88,78.49,5.61,0.0,0.0
