year,January,February,March,April,May,June,July,August,September,October,November,December
2014,14.37903647,15.00057426,14.71813407,13.90333005,9.294160498,5.66589229,5.122227706,7.239951562,7.98802782,12.47130865,14.10359931,15.72968155
2015,16.8526905,16.07482114,16.22458956,14.54953538,9.706245528,8.042004389,6.013229236,7.435936491,8.939099454,13.63279164,16.63549444,16.23070018
2016,17.06980359,14.64219284,13.23947821,14.3526578,10.60461527,6.013800759,6.816367745,6.203544174,6.380040127,11.45243993,17.63113697,19.20191958
2017,18.74772168,18.47698434,18.8810418,13.49219721,10.42264521,7.715293429,6.88352919,7.379151271,9.689891526,12.39454374,17.61396363,18.83107899
2018,20.31271962,18.1350064,18.06676399,18.14232101,11.30473421,7.680768223,6.902311143,7.159793531,11.66698045,16.82301089,18.73781274,20.74382033
2019,18.05974156,17.28189339,17.6010822,16.24402214,10.29192643,8.192940872,9.039336394,8.575156531,11.69041038,18.04902163,19.6456119,18.77884591
2020,19.15935701,16.0109076,16.70234067,16.3925626,12.37710572,9.33908648,9.85911388,10.35770794,10.61483339,12.43805295,19.92636821,20.74150658
2021,20.24673675,18.99652731,19.33431883,17.2277244,12.03405217,8.808559916,7.476072865,9.162340578,10.11339452,14.31224778,15.38160138,21.01111249
2022,20.88970369,20.14843492,17.63594246,17.45483024,8.150597305,8.280254255,9.332975072,8.060015676,8.929013123,13.89931286,21.89497886,18.8633587
2023,18.49212231,19.36728367,19.14029564,19.16336727,12.1173553,8.279031151,8.544190252,8.859945586,9.838091613,17.41346736,20.06950457,17.21441758
2024,20.53859573,17.98038495,16.73672292,18.65403078,12.7481831,9.200954254,8.590785914,9.772413154,9.285552181,15.01405978,18.64913914,20.99127386
