year,January,February,March,April,May,June,July,August,September,October,November,December
2014,11.16701245,12.72550234,14.8430913,15.11611954,14.64920152,20.45718755,16.42282286,16.01664918,11.82151101,9.346072207,18.26782105,9.369450571
2015,10.8149633,10.74566723,14.86383164,9.931382825,16.39580433,15.87815888,17.28083316,12.67695198,9.692099758,8.123737038,8.566086727,8.053498785
2016,13.67547122,14.80075743,12.55936722,10.945945,14.64308958,18.14676256,18.39521207,16.20502965,15.62409455,12.46493744,18.70049591,14.46489679
2017,12.55879027,14.27138961,14.05131564,25.90209682,17.04841288,13.20215416,18.51389854,15.40767349,12.88427586,14.62395026,14.68370467,12.60560464
2018,19.12960724,13.43394226,15.94537075,13.81390847,14.61713783,17.53613634,18.45697072,19.24808808,12.98828395,13.64407989,17.5230725,14.98080259
2019,12.99163235,11.8708946,17.46467529,14.4468256,16.35608891,15.72856896,17.41771644,18.37845719,11.34628716,6.87869334,10.48680091,8.22846054
2020,10.39759591,12.23937127,15.60364192,11.08223286,17.42640144,15.55579163,13.77452983,11.57561874,12.31783804,17.60379984,11.9627382,11.64804145
2021,9.564198436,13.21728575,15.64314837,20.8068709,12.82388599,15.44278935,15.28226617,15.35614512,14.38119488,12.02959215,10.74724058,10.66002433
2022,10.93417558,14.50600439,20.54581059,10.50220584,23.62982658,16.76061437,21.01053852,14.85933449,13.54483009,13.27294003,16.38609878,13.09291952
2023,13.09202201,12.7081292,13.05099874,13.87118976,13.86538127,16.09914778,16.17446365,13.04818734,11.36669526,10.1783659,7.67094534,8.209466117
2024,10.89635202,15.3281512,18.24974306,12.00676441,16.44644877,14.68660186,19.69940222,15.38638145,14.35006387,10.1047604,12.77453508,15.22392709
