year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.80125,0.76775,0.77075,0.755333333,0.7655,0.7695,0.7165,0.69825,0.681,0.766,0.77675,0.7885
2015,0.8,0.78,0.76775,0.791,0.78275,0.7705,0.733,0.76,0.7535,0.781666667,0.79125,0.81825
2016,0.8075,0.7945,0.7535,0.7825,0.792333333,0.76975,0.756,0.712,0.68575,0.741,0.778666667,0.807
2017,0.796,0.7715,0.7635,0.769,0.7835,0.7815,0.74825,0.724,0.77525,0.801,0.67,0.81125
2018,0.792,0.77825,0.769,0.795,0.764,0.7915,0.741,0.696,0.74625,0.776333333,0.79775,0.8155
2019,0.80075,0.78175,0.76975,0.778333333,0.7855,0.7655,0.75075,0.76125,0.78,0.611,0.80975,0.79975
2020,0.79175,0.76775,0.73825,0.7585,0.784333333,0.79925,0.7825,0.7565,0.745,0.7685,0.757333333,0.79925
2021,0.81575,0.7815,0.77225,0.783333333,0.77975,0.7895,0.7745,0.75125,0.74475,0.771666667,0.809,0.805
2022,0.78575,0.78725,0.753,0.785666667,0.7635,0.77275,0.766,0.76375,0.70825,0.771666667,0.7765,0.75175
2023,0.798,0.79425,0.7535,0.773666667,0.77125,0.76975,0.74875,0.698,0.746,0.788666667,0.79725,0.80375
2024,0.803,0.785,0.751,0.76375,0.795,0.744,0.775333333,0.7475,0.759,0.706,0.766666667,0.807
