year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,14.183536798166665,62.51,0.7547569444166666,294.0,9749.0,1755.0,11.301327019666667,2.3431113092499998
2015,11.918584637750001,13.979166666666666,0.77747222225,342.0,11072.0,1256.0,12.528094828166667,2.2543560586666667
2016,15.052171618333333,88.79083333333334,0.7650416666666667,749.0,9671.0,887.0,11.967333082916667,2.3964735959166665
2017,15.479438903333333,35.623333333333335,0.7662291666666666,739.0,9465.0,858.0,13.377336834666666,2.3959765428333335
2018,15.943116718333334,78.99,0.7718819444166667,824.0,11209.0,982.0,14.639670211416666,2.514982977666667
2019,13.466258440833334,9.758333333333333,0.7661736110833334,594.0,11345.0,1069.0,14.454165778083334,2.1735618118333333
2020,13.432300094166665,60.5025,0.7707430555,639.0,9385.0,1071.0,14.493245252500001,2.3512924614166666
2021,13.829553502166666,31.156666666666666,0.7815208333333333,710.0,4718.0,582.0,14.508724082416668,2.3535445312500003
2022,15.753774898333333,37.62166666666667,0.7654861111666666,486.0,9620.0,1538.0,14.46161809675,2.5641478715
2023,12.44458269725,53.208333333333336,0.7702361111666667,683.0,13355.0,2092.0,14.874922691833333,2.2158550250833335
2024,14.596094285833333,17.990833333333335,0.7669375,661.0,11827.0,2112.0,14.846841313583333,2.43773711875
