district,target,feature,correlation
Trincomalee,asthma_live_discharges,vim_anomaly,-0.1887541948274918
Trincomalee,asthma_live_discharges,no2_ug_m3,-0.14913152729938836
Trincomalee,asthma_live_discharges,vim,-0.14738826098612434
Trincomalee,asthma_live_discharges,pm2.5_ug_m3,-0.08250620047593449
Trincomalee,asthma_live_discharges,so2_ug_m3,-0.04078043531896366
Trincomalee,asthma_live_discharges,frp_total,0.17256172970140643
Trincomalee,asthma_live_discharges,tc_loss_ha,0.3660172822800735
Trincomalee,asthma_live_discharges,carbon_gross_emissions_yearly,0.37056918259355587
Trincomalee,bronchitis_live_discharges,vim_anomaly,-0.0630891357364203
Trincomalee,bronchitis_live_discharges,vim,-0.050556825156675506
Trincomalee,bronchitis_live_discharges,so2_ug_m3,0.0041036422084451745
Trincomalee,bronchitis_live_discharges,no2_ug_m3,0.04884206321458182
Trincomalee,bronchitis_live_discharges,pm2.5_ug_m3,0.04970041679167561
Trincomalee,bronchitis_live_discharges,frp_total,0.07974461042025907
Trincomalee,bronchitis_live_discharges,tc_loss_ha,0.32719604340588043
Trincomalee,bronchitis_live_discharges,carbon_gross_emissions_yearly,0.3292754125747031
Trincomalee,asthma_deaths,carbon_gross_emissions_yearly,-0.43203748213242626
Trincomalee,asthma_deaths,tc_loss_ha,-0.43020672651828296
Trincomalee,asthma_deaths,no2_ug_m3,-0.16764899404760109
Trincomalee,asthma_deaths,vim_anomaly,-0.06031448648059913
Trincomalee,asthma_deaths,vim,-0.04057882378874035
Trincomalee,asthma_deaths,so2_ug_m3,0.011908378250996695
Trincomalee,asthma_deaths,pm2.5_ug_m3,0.05967768401174035
Trincomalee,asthma_deaths,frp_total,0.09694327596566138
Trincomalee,bronchitis_deaths,no2_ug_m3,-0.24818894737979513
Trincomalee,bronchitis_deaths,pm2.5_ug_m3,-0.1451667107889031
Trincomalee,bronchitis_deaths,tc_loss_ha,-0.11143316155102555
Trincomalee,bronchitis_deaths,carbon_gross_emissions_yearly,-0.08117015585271668
Trincomalee,bronchitis_deaths,so2_ug_m3,-0.0269900015957943
Trincomalee,bronchitis_deaths,vim_anomaly,-0.010825291133015056
Trincomalee,bronchitis_deaths,vim,-0.009691569096979548
Trincomalee,bronchitis_deaths,frp_total,0.06235830740789386
Trincomalee,asthma_cfr,carbon_gross_emissions_yearly,-0.4640072767664907
Trincomalee,asthma_cfr,tc_loss_ha,-0.4615278629754709
Trincomalee,asthma_cfr,no2_ug_m3,-0.1468543354496299
Trincomalee,asthma_cfr,vim_anomaly,-0.038179102439916034
Trincomalee,asthma_cfr,vim,-0.02290600869498844
Trincomalee,asthma_cfr,so2_ug_m3,0.01594182454794684
Trincomalee,asthma_cfr,pm2.5_ug_m3,0.0765439444394425
Trincomalee,asthma_cfr,frp_total,0.07833084155772885
Trincomalee,bronchitis_cfr,tc_loss_ha,-0.34196875799991033
Trincomalee,bronchitis_cfr,carbon_gross_emissions_yearly,-0.315667857004641
Trincomalee,bronchitis_cfr,no2_ug_m3,-0.3096503309465254
Trincomalee,bronchitis_cfr,pm2.5_ug_m3,-0.14670146290175912
Trincomalee,bronchitis_cfr,vim_anomaly,-0.04324342175474686
Trincomalee,bronchitis_cfr,vim,-0.03628877784006348
Trincomalee,bronchitis_cfr,so2_ug_m3,-0.029280843584505587
Trincomalee,bronchitis_cfr,frp_total,0.013464159580046473
