year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.0,0.0,133.6,299.15,32.31,233.3,177.57,467.56,125.69,6.64,0.0,0.0
2015,0.0,9.93,1.68,39.7,16.94,38.35,143.27,380.84,474.35,9.86,0.0,0.0
2016,0.0,2.23,97.7,535.15,53.08,4.74,22.14,146.53,473.63,615.22,3.64,0.0
2017,7.59,6.7,12.77,196.7,122.0,195.79,221.23,0.0,27.62,15.25,0.0,0.0
2018,4.86,20.51,15.82,202.37,10.65,9.82,91.84,175.61,459.76,1.82,0.0,0.0
2019,0.0,19.24,486.21,706.21,137.91,39.08,112.43,223.66,399.37,19.88,0.0,0.0
2020,0.0,5.3,175.3,197.67,67.72,107.85,9.78,1583.76,127.05,81.99,46.96,0.0
2021,0.0,0.0,10.68,8.98,0.0,35.95,27.85,44.03,145.79,4.76,0.0,2.86
2022,0.0,1.69,5.44,7.39,30.84,7.84,150.82,7.92,469.13,42.66,0.0,0.0
2023,0.0,27.08,25.47,111.4,0.0,16.91,101.52,665.5,145.43,20.33,0.0,0.0
2024,0.0,28.41,544.3,72.14,0.0,14.22,25.38,53.93,470.63,24.24,2.73,0.0
