year,January,February,March,April,May,June,July,August,September,October,November,December
2014,1.957604092,2.238072572,2.39058375,4.159582581,3.65633867,1.936162298,1.774276894,2.66510267,2.829258287,4.005883432,3.79842791,2.498833861
2015,2.395585245,2.459807816,2.989594054,4.853521116,3.9395684,2.65198972,2.137869138,2.648424217,3.413083216,4.211534189,4.417342156,2.591174376
2016,2.180211995,2.308974226,3.414338308,5.14888543,3.690570228,2.412557335,2.619333814,2.500671946,2.657315618,3.650993056,3.276177015,3.567066328
2017,2.483000514,3.02216897,5.45906432,4.615133625,3.345892311,2.64313959,2.914743579,2.853456773,3.557909291,4.017155308,4.012011694,4.014120485
2018,3.262734077,2.377181408,4.122064356,5.038770304,4.531060514,2.6934408,2.533324452,2.765593855,3.888667581,5.002697106,4.16788877,3.385360259
2019,2.365393524,3.316520959,4.713641501,5.647203039,3.466988343,2.777652765,3.293748138,2.936769703,4.237899104,5.823089364,5.183879361,2.96129062
2020,2.805939972,2.149197299,3.322874203,5.204599411,4.227340835,3.099799622,3.828211217,3.085252153,3.766722445,3.823217845,4.654634845,3.535857185
2021,3.447973548,2.689400766,4.047078475,5.008315833,4.07906891,2.916333546,2.846812725,3.317224055,3.548375608,4.624612295,4.555322153,3.700245972
2022,3.964732728,3.202473207,5.019157657,5.402678667,3.04752369,3.138010173,3.457924501,3.016265075,3.238456897,4.522273341,5.361376698,3.708575323
2023,2.575537938,2.582228144,4.38521205,5.379206281,4.543748606,2.914779503,2.753437146,3.289509257,3.802773039,5.775256575,5.726556118,3.149401035
2024,3.333218091,2.602046356,3.66031709,5.216027468,4.709919367,3.344607532,2.521020105,3.728483858,2.950869603,5.232957305,4.425659095,4.815356314
