year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.65625,0.7045,0.65075,0.589666667,0.6395,0.6155,0.5465,0.58475,0.62275,0.699666667,0.582,0.547
2015,0.7015,0.646,0.657,0.646666667,0.631,0.67125,0.643,0.59225,0.674,0.690666667,0.671,0.70075
2016,0.70275,0.65825,0.64125,0.5885,0.619666667,0.67175,0.64725,0.65275,0.58275,0.58025,0.647333333,0.6925
2017,0.711,0.7225,0.65775,0.593333333,0.57325,0.59,0.57275,0.67125,0.68375,0.668333333,0.68075,0.72375
2018,0.72875,0.652,0.636,0.611,0.63375,0.667,0.6225,0.5665,0.60725,0.668333333,0.61375,0.67325
2019,0.68875,0.6455,0.61,0.586333333,0.562,0.62,0.59725,0.6215,0.587,0.566666667,0.67275,0.67875
2020,0.72325,0.663,0.591,0.5535,0.654666667,0.67725,0.68425,0.59875,0.5985,0.5805,0.619333333,0.67125
2021,0.69625,0.64275,0.597,0.605666667,0.65925,0.67425,0.651,0.6425,0.639,0.64,0.668,0.69875
2022,0.7085,0.66725,0.63525,0.654,0.622,0.64475,0.629,0.6635,0.632,0.641333333,0.656666667,0.70625
2023,0.71,0.64125,0.6045,0.606666667,0.669,0.6935,0.62925,0.60875,0.62625,0.627,0.67575,0.70975
2024,0.70225,0.632,0.6,0.58525,0.653,0.69225,0.655666667,0.62,0.614,0.654,0.663,0.72575
