,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,vim,vim_anomaly,tc_loss_ha,frp_total,carbon_gross_emissions_yearly,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
pm2.5_ug_m3,1.0,-0.16045740530041291,0.44848948228561913,-0.3527926563824433,-0.2057862446389685,0.06265469252285033,0.18302904714275478,0.0654739074060778,0.027453961851751592,-0.005316446300903494,0.15157164200676224,-0.12915722477489291,0.15928775994551,-0.11567085532829706
no2_ug_m3,-0.16045740530041291,1.0,0.05526201668201734,-0.13641568329492051,0.02954884488464782,-0.03329364980709418,-0.03627529253564701,0.011439056515655454,-0.04205702633791556,0.09051616280573282,0.1039276560679919,0.11911958075164208,0.10403698489948532,0.10538362695755338
so2_ug_m3,0.44848948228561913,0.05526201668201734,1.0,-0.4319683074645961,0.10539716161595561,0.041092393149131816,0.44291260548153477,0.04182355507746265,0.011046284437160155,0.005361413929085085,0.032853457256008155,-0.08156730009476357,0.03545938128180093,-0.08515653193161073
vim,-0.3527926563824433,-0.13641568329492051,-0.4319683074645961,1.0,0.594859157029912,-0.08334227028496086,-0.5748699276264074,-0.12209169362545931,0.1763314840357811,0.16876003461331002,0.0420090737193704,-0.01227336137936954,0.03396486544934152,-0.09585929640898375
vim_anomaly,-0.2057862446389685,0.02954884488464782,0.10539716161595561,0.594859157029912,1.0,-0.11156591928409085,-0.16229605619476523,-0.15985662835323658,0.22340734576865443,0.2111481108848848,0.05806134808014431,-0.009940130310284817,0.04793360899360738,-0.11502444213391531
tc_loss_ha,0.06265469252285033,-0.03329364980709418,0.041092393149131816,-0.08334227028496086,-0.11156591928409085,1.0,0.07039287700025576,0.9365910569995922,-0.5093735329723605,-0.36692876363291577,-0.37050734685845227,-0.5719033506789103,-0.3571815137716145,-0.45423522064939803
frp_total,0.18302904714275478,-0.03627529253564701,0.44291260548153477,-0.5748699276264074,-0.16229605619476523,0.07039287700025576,1.0,0.03753044809001219,-0.00705400100361019,0.006356405571136374,-0.010792319925986503,-0.031845992787317146,-0.010362123117386041,-0.03970022784699438
carbon_gross_emissions_yearly,0.0654739074060778,0.011439056515655454,0.04182355507746265,-0.12209169362545931,-0.15985662835323658,0.9365910569995922,0.03753044809001219,1.0,-0.7462251860574791,-0.3930152223944169,-0.4554242047373389,-0.47021598627153743,-0.4447797896432286,-0.330205287707748
asthma_live_discharges,0.027453961851751592,-0.04205702633791556,0.011046284437160155,0.1763314840357811,0.22340734576865443,-0.5093735329723605,-0.00705400100361019,-0.7462251860574791,1.0,0.4840332715986677,0.5945944922911833,0.07728311937781063,0.5927643785608314,-0.12079774963254437
bronchitis_live_discharges,-0.005316446300903494,0.09051616280573282,0.005361413929085085,0.16876003461331002,0.2111481108848848,-0.36692876363291577,0.006356405571136374,-0.3930152223944169,0.4840332715986677,1.0,0.2444376504909579,0.3546968545534666,0.2285558860449922,-0.06784431895330216
asthma_deaths,0.15157164200676224,0.1039276560679919,0.032853457256008155,0.0420090737193704,0.05806134808014431,-0.37050734685845227,-0.010792319925986503,-0.4554242047373389,0.5945944922911833,0.2444376504909579,1.0,0.07422617945830304,0.9972941112023073,0.043069484665135965
bronchitis_deaths,-0.12915722477489291,0.11911958075164208,-0.08156730009476357,-0.01227336137936954,-0.009940130310284817,-0.5719033506789103,-0.031845992787317146,-0.47021598627153743,0.07728311937781063,0.3546968545534666,0.07422617945830304,1.0,0.09669188198418484,0.9020144456330031
asthma_cfr,0.15928775994551,0.10403698489948532,0.03545938128180093,0.03396486544934152,0.04793360899360738,-0.3571815137716145,-0.010362123117386041,-0.4447797896432286,0.5927643785608314,0.2285558860449922,0.9972941112023073,0.09669188198418484,1.0,0.07374024152309427
bronchitis_cfr,-0.11567085532829706,0.10538362695755338,-0.08515653193161073,-0.09585929640898375,-0.11502444213391531,-0.45423522064939803,-0.03970022784699438,-0.330205287707748,-0.12079774963254437,-0.06784431895330216,0.043069484665135965,0.9020144456330031,0.07374024152309427,1.0
