year,January,February,March,April,May,June,July,August,September,October,November,December
2014,9.03,32.36,344.03,149.52,0.0,170.93,500.82,421.94,477.81,13.33,0.0,0.0
2015,0.0,31.18,86.66,11.73,2.21,66.39,149.84,423.38,281.34,6.48,0.0,0.0
2016,0.0,15.7,346.82,109.97,24.29,22.45,99.84,377.42,455.87,553.39,0.0,0.71
2017,22.17,80.96,67.85,161.4,50.06,240.88,795.17,0.0,7.92,24.77,0.0,0.0
2018,43.79,134.11,291.8,74.21,2.64,32.17,202.27,484.13,199.38,0.0,0.0,0.0
2019,26.03,38.54,385.56,385.1,88.0,115.11,239.79,228.4,68.55,12.09,0.0,0.0
2020,13.04,144.31,218.91,187.14,14.89,112.05,73.45,298.46,164.53,386.26,36.44,0.0
2021,0.0,61.62,96.9,65.79,38.63,187.66,242.16,160.53,116.38,10.04,0.0,3.68
2022,0.0,36.29,39.5,16.96,63.35,54.94,226.69,16.38,266.66,19.26,0.0,0.0
2023,9.15,26.41,31.03,100.16,45.25,142.13,411.28,1088.5,203.36,3.28,0.0,0.0
2024,0.0,23.63,151.83,71.05,33.99,4.7,99.53,118.94,349.65,33.89,0.0,0.0
