year,January,February,March,April,May,June,July,August,September,October,November,December
2014,1.087126947,1.279415625,1.425039476,2.130495934,2.036455787,1.520349214,1.446817671,1.861232509,1.870556948,2.527150777,2.545894101,1.617826966
2015,1.492658724,1.50520848,1.920246567,2.476771214,2.289565295,1.561657455,1.648634848,1.808257729,1.996623236,2.399502846,2.663513714,1.691165109
2016,1.368091366,1.549165926,2.245408534,2.586728469,2.187702945,1.732818165,1.894838384,2.012960383,1.983883274,2.295729477,1.838789883,2.07427549
2017,1.323745206,1.8452938,3.250841543,2.809572521,2.326682266,1.916074672,2.422094728,2.106775876,2.168816046,2.264875705,2.304531902,2.175774782
2018,1.640189392,1.290930577,2.367094679,2.649832956,2.577725453,1.620943359,1.856138563,2.362461001,2.643374701,2.922923054,2.600171399,1.918429936
2019,1.32965943,1.933643758,2.506386936,3.054944086,1.914702961,1.80829196,2.080516726,1.731297994,2.302229574,3.515365917,2.82716569,1.677916886
2020,1.550183122,1.284320949,2.087250348,2.49770374,2.411521782,1.932690324,2.326823349,1.834345749,2.002524947,2.285336905,2.649887828,1.954116971
2021,1.849359972,1.494536295,2.027653166,2.597622417,2.206362958,1.73360898,1.934760091,2.035385312,2.202260102,2.543670682,2.625057462,1.981991684
2022,2.376111349,1.638723162,2.303664258,3.048753604,1.79752936,2.054384919,2.356028526,2.129934212,2.012809392,2.819511524,2.934387087,1.998145778
2023,1.375151994,1.425740771,2.428999115,2.714323746,2.518535999,1.988108646,2.011737011,2.327994214,1.90794051,3.1289463,3.048652093,1.893187279
2024,1.796726286,1.711691496,2.197151689,3.013878054,2.647250033,1.84022664,1.597121345,2.077039272,1.821445295,2.877012221,2.305017859,2.880474267
