year,January,February,March,April,May,June,July,August,September,October,November,December
2014,17.93582604,13.85174515,18.83049301,17.39350105,20.14825336,27.31882684,22.77693172,20.95487202,16.85109285,11.15285416,25.66925669,17.72876701
2015,11.7287285,14.35570396,17.09490143,10.09219307,23.37802966,21.19105881,23.13732663,18.42552391,13.96635913,10.72653204,8.947334368,10.43161424
2016,16.34974896,15.72248436,13.60048808,14.94668044,20.33452981,23.82685803,21.33184074,21.81327221,20.07873619,23.43743434,21.41679167,21.61567919
2017,15.08411446,15.7794287,15.64484017,31.72512126,23.00212437,19.71399566,22.18784134,20.1297887,15.39838949,17.66698732,20.63365485,16.48013656
2018,23.23210182,19.11637965,23.40260481,15.46907829,19.73979783,25.67540182,23.92627708,23.8421306,16.50011394,14.49951868,22.53566032,22.54851847
2019,17.70504727,15.7334788,20.22618825,15.8087038,27.22199211,21.89133611,21.87194478,23.3231348,16.83199038,6.287916961,19.55594667,11.67456554
2020,12.31248329,15.65964541,15.95635995,12.51992697,19.26917493,20.36791738,16.71913973,16.70081912,16.38851668,21.30922426,17.55253304,19.13838422
2021,13.90952737,18.80076175,21.01985454,25.86776886,14.86016285,20.89824876,19.12753248,18.71353647,19.69226876,17.09345556,16.83082922,14.37446482
2022,15.45663647,18.25832076,29.83888355,12.87410435,33.04068813,20.84187867,23.40748023,20.40977182,17.65113034,15.21469381,26.60040852,19.5969532
2023,19.91361815,19.57987125,19.32893741,16.47092492,19.4157623,21.69743347,21.43679385,18.62099934,17.67450346,16.25413364,9.694705753,14.95353216
2024,16.85243789,22.92094879,23.23879872,13.67521411,20.97045996,19.97589113,24.54196951,18.69637502,19.7981795,12.74492249,19.51239911,21.50554197
