year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.76125,0.73825,0.68275,0.656,0.72675,0.69175,0.63975,0.673,0.65725,0.765666667,0.67275,0.67675
2015,0.76525,0.7075,0.71,0.713,0.7015,0.735,0.6615,0.67525,0.7435,0.748,0.762,0.7935
2016,0.7655,0.73,0.67925,0.67725,0.743333333,0.75025,0.7065,0.678,0.6425,0.66525,0.711333333,0.77875
2017,0.77425,0.76125,0.72,0.664666667,0.6865,0.67125,0.6205,0.70475,0.7565,0.734,0.755,0.78225
2018,0.76625,0.7045,0.669,0.686333333,0.693,0.6995,0.645,0.6175,0.673,0.750666667,0.69975,0.737
2019,0.75375,0.718,0.6605,0.663333333,0.68175,0.6715,0.6225,0.6185,0.67125,0.716,0.776,0.779
2020,0.7775,0.7115,0.65075,0.65775,0.692,0.729,0.7395,0.6945,0.69675,0.6685,0.731,0.71775
2021,0.745,0.73325,0.6765,0.678,0.7275,0.697,0.693,0.647,0.7015,0.737333333,0.72825,0.7745
2022,0.7585,0.728,0.684,0.712333333,0.7215,0.7045,0.677,0.74125,0.6905,0.722666667,0.73,0.754
2023,0.731,0.71775,0.66925,0.689666667,0.7175,0.69275,0.66625,0.64025,0.6695,0.710666667,0.7345,0.74275
2024,0.7795,0.725,0.6505,0.65725,0.722,0.71725,0.672666667,0.69075,0.666,0.6845,0.505333333,0.73075
