month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,16.40729729272727,11.200909090909091,0.7616136363636362,997.4545454545455,332.45454545454544,1.562636708
February,17.252615325454546,56.82818181818182,0.725,997.4545454545455,332.45454545454544,1.5416973489999999
March,19.834759083636364,187.35363636363635,0.6775,997.4545454545455,332.45454545454544,2.2508851191818184
April,16.98574701090909,121.18454545454546,0.677780303,997.4545454545455,332.45454545454544,2.6891478855454545
May,21.943725028181817,33.02818181818182,0.7103030302727272,997.4545454545455,332.45454545454544,2.264912258090909
June,22.127167880000002,104.49181818181819,0.7054318181818182,997.4545454545455,332.45454545454544,1.791741303090909
July,21.860461644545452,276.44,0.6676515151818182,997.4545454545455,332.45454545454544,1.961410112909091
August,20.148202182727275,328.91636363636366,0.6709772727272727,997.4545454545455,332.45454545454544,2.0261531137272724
September,17.348298247272727,235.58636363636361,0.6880227272727273,997.4545454545455,332.45454545454544,2.0829512749999997
October,15.126152114636364,96.61727272727272,0.7184772728181819,997.4545454545455,332.45454545454544,2.689093218909091
November,18.995410928272726,3.3127272727272725,0.7096287878181818,997.4545454545455,332.45454545454544,2.576642638
December,17.277105216363637,0.39909090909090916,0.7515454545454545,997.4545454545455,332.45454545454544,1.9875731952727271
