year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,19.217701658333333,176.6475,0.69515972225,983.0,993.0,278.0,1.7790301629166667,0.9928533264166667
2015,15.289608812333334,88.2675,0.7263333333333333,655.0,1447.0,385.0,1.9544837680833334,0.8621403045
2016,19.539545335,167.205,0.7106597221666666,1610.0,1251.0,356.0,1.9808660246666667,1.0642930289166668
2017,19.453868573333335,120.93166666666667,0.7192430555833332,820.0,1479.0,400.0,2.2429232539166666,0.9702905737499999
2018,20.87396527583333,122.04166666666667,0.695125,893.0,1303.0,298.0,2.2041845891666667,1.0399219535
2019,18.177687122583333,132.26416666666668,0.69434027775,874.0,1286.0,335.0,2.2235101598333333,0.8078122314999999
2020,16.991177081666667,137.45666666666668,0.7055416666666666,949.0,743.0,302.0,2.0680588345,0.8972378445833332
2021,18.43236762,81.94916666666667,0.7115694444166666,1362.0,745.0,232.0,2.1026890934166667,0.9830910088333334
2022,21.099245820833335,61.669166666666676,0.7186875,802.0,1305.0,428.0,2.2891652642499998,1.1301222236666668
2023,17.920101308583334,171.71249999999998,0.6984861111666666,1265.0,305.0,390.0,2.230776473166667,0.9022293369166666
2024,19.53609485,73.93416666666667,0.6834583333333333,1229.0,115.0,253.0,2.2304195380833334,1.0030879525
